time, id1, id2, amount, message
11/2/16 9:38,1,2,23.74,:)
11/2/16 9:38,1,3,,:)
11/2/16 9:38,3,4,,:)
11/2/16 9:38,4,5,,:)
11/2/16 9:38,1,26,,:)
11/2/16 9:38,26,20,,:)
11/2/16 9:38,20,30,,:)
11/2/16 9:38,20,5,,:)
11/2/16 9:38,19321,1,,:)
11/2/16 9:38,1,32,,:)
11/2/16 9:38,1,31,,:)
11/2/16 9:38,1,23,,:)
11/2/16 9:38,15,16,,:)
11/2/16 9:38,3121,3122,,:)
11/2/16 9:38,3121,31,,:)
11/2/16 9:38,3123,31,,:)
11/2/16 9:38,3123,1,,:)
11/2/16 9:38,8,9,,:)
11/2/16 9:38,9,24937,,:)
11/2/16 9:38,8,,,:)
11/2/16 9:38,9,i,,:)
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
